Ability Technology Limited;PEARCE;;"+610299079736
(00) 00000000";www.ability.org.au;info@ability.org.au;6 Hodgson Place, PEARCE, ACT, 2607
;;Early Childhood Supports;610261562747;http://eatspeaklearn.com.au;enquiries@eatspeaklearn.com.au;Waterside, 2/1 Beissel Street, BELCONNEN, ACT, 2617
;;Therapeutic Supports;610261562747;http://eatspeaklearn.com.au;enquiries@eatspeaklearn.com.au;Waterside, 2/1 Beissel Street, BELCONNEN, ACT, 2617
MAX Solutions Pty Ltd;BELCONNEN;Therapeutic Supports;"+610262569400
00 00000000";www.maxsolutions.com.au;belconnen@maxemployment.com.au;Level 3 Swanson Plaza, 11-17 Swanson Court, BELCONNEN, ACT, 2617
MB Occupational Therapy;GUNGAHLIN;Assess-Skill, Ability, Needs;610458096202;;mb@mbot.com.au;ADDRESS CONFIDENTIAL
;;Equipment Special Assess Setup;610458096202;;mb@mbot.com.au;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;610458096202;;mb@mbot.com.au;ADDRESS CONFIDENTIAL
McCaffray, Helen Robson;BONNER;Assess-Skill, Ability, Needs;610404688014;;hmccaffray@iinet.net.au;48 Margaret Tucker Street, BONNER, ACT, 2914
;;Early Childhood Supports;610404688014;;hmccaffray@iinet.net.au;48 Margaret Tucker Street, BONNER, ACT, 2914
;;Equipment Special Assess Setup;610404688014;;hmccaffray@iinet.net.au;48 Margaret Tucker Street, BONNER, ACT, 2914
;;Therapeutic Supports;610404688014;;hmccaffray@iinet.net.au;48 Margaret Tucker Street, BONNER, ACT, 2914
Mental Health Foundation (ACT) Inc;CHIFLEY;Accommodation/Tenancy;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Assist Access/Maintain Employ;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Assist-Integrate School/Ed;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Assist-Life Stage, Transition;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Assist-Personal Activities;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Assist-Travel/Transport;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Behaviour Support;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Daily Tasks/Shared Living;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Development-Life Skills;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Household Tasks;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Participate Community;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Physical Wellbeing;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Therapeutic Supports;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
;;Training-Travel Independence;;www.mhf.org.au;;11/70 MacLaurin Cres, CHIFLEY, ACT, 2606
Mental Illness Fellowship Victoria;O'CONNOR;Accommodation/Tenancy;"+610262467100
(00) 0000 0000";http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Assist Access/Maintain Employ;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Assist-Life Stage, Transition;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Assist-Personal Activities;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Assist-Travel/Transport;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Development-Life Skills;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Household Tasks;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
;;Participate Community;+610262467100(00) 0000 0000;http://www.mifellowship.org/;ACT@mifellowship.org;41B David Street, O'CONNOR, ACT, 2602
Mercy Health & Aged Care Inc;GUNGAHLIN;Assist-Life Stage, Transition;;;mhcc_canberra@mercy.com.au;Suite 2E, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
;;Assist-Personal Activities;;;mhcc_canberra@mercy.com.au;Suite 2E, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
;;Assist-Travel/Transport;;;mhcc_canberra@mercy.com.au;Suite 2E, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
;;Household Tasks;;;mhcc_canberra@mercy.com.au;Suite 2E, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
;;Participate Community;;;mhcc_canberra@mercy.com.au;Suite 2E, 46-50 Hibberson Street, GUNGAHLIN, ACT, 2912
Michael J MacDonald & Leonie E Cheetham;FRASER;;;;;3 Vercoe Place, FRASER, ACT, 2615
Mobility Matters Pty Ltd;FYSHWICK;Assist Prod-Pers Care/Safety;"+610262807244
(00) 00000000";http://mobilitymatters.com.au/;alison@mobilitymatters.com.au;35 Townsville St, FYSHWICK, ACT, 2609
;;Assistive Equip-Recreation;+610262807244(00) 00000000;http://mobilitymatters.com.au/;alison@mobilitymatters.com.au;35 Townsville St, FYSHWICK, ACT, 2609
;;Assistive Prod-Household Task;+610262807244(00) 00000000;http://mobilitymatters.com.au/;alison@mobilitymatters.com.au;35 Townsville St, FYSHWICK, ACT, 2609
;;Other Innovative Supports;+610262807244(00) 00000000;http://mobilitymatters.com.au/;alison@mobilitymatters.com.au;35 Townsville St, FYSHWICK, ACT, 2609
;;Personal Mobility Equipment;+610262807244(00) 00000000;http://mobilitymatters.com.au/;alison@mobilitymatters.com.au;35 Townsville St, FYSHWICK, ACT, 2609
Momentum Sports and Rehabilitation Services Pty Ltd ATF Momentum Unit Trust;LYNEHAM;Assess-Skill, Ability, Needs;;;;17 Bemboka Crescent, LYNEHAM, ACT, 2602
;;Assistive Equip-Recreation;;;;17 Bemboka Crescent, LYNEHAM, ACT, 2602
;;Equipment Special Assess Setup;;;;17 Bemboka Crescent, LYNEHAM, ACT, 2602
;;Personal Mobility Equipment;;;;17 Bemboka Crescent, LYNEHAM, ACT, 2602
Motor Neurone Disease Association of NSW;GLADESVILLE;Assist Prod-Pers Care/Safety;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
;;Assistive Prod-Household Task;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
;;Assist-Life Stage, Transition;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
;;Comms & Info Equipment;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
;;Other Innovative Supports;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
;;Personal Mobility Equipment;;;;Building 4, Old Gladesville Hospital, Victoria Road, GLADESVILLE, NSW, 2111
Multiple Sclerosis Limited;DEAKIN;Assist-Life Stage, Transition;;;;ADDRESS CONFIDENTIAL
Musso Marquez, Maria Cristina;CANBERRA CITY;;610261694044;www.seaca.com.au;info@seaca.com.au;Tower A, Level 5, 7 London CCT, CANBERRA CITY, ACT, 2601
N D Gook & R J Gook;DIAMOND CREEK;;611300287526;www.auslanservices.com;admin@auslanservices.com;142 Everleigh Dve, DIAMOND CREEK, VIC, 3089
Noah's Ark Inc.;LYONS;Assess-Skill, Ability, Needs;610261694300;www.noahsarkinc.org.au;stephen.carberry@noahsarkinc.org.au;Ground Floor, Unit 2, 3 Lyons Place, LYONS, ACT, 2606
;;Early Childhood Supports;610261694300;www.noahsarkinc.org.au;stephen.carberry@noahsarkinc.org.au;Ground Floor, Unit 2, 3 Lyons Place, LYONS, ACT, 2606
;;Therapeutic Supports;610261694300;www.noahsarkinc.org.au;stephen.carberry@noahsarkinc.org.au;Ground Floor, Unit 2, 3 Lyons Place, LYONS, ACT, 2606
Norman, Sheila;KARABAR;Assess-Skill, Ability, Needs;610262991218;;sheilanormanot@gmail.com;10 Malcolm Rd, KARABAR, NSW, 2620
;;Behaviour Support;610262991218;;sheilanormanot@gmail.com;10 Malcolm Rd, KARABAR, NSW, 2620
;;Early Childhood Supports;610262991218;;sheilanormanot@gmail.com;10 Malcolm Rd, KARABAR, NSW, 2620
;;Therapeutic Supports;610262991218;;sheilanormanot@gmail.com;10 Malcolm Rd, KARABAR, NSW, 2620
Northside Community Service Limited;DICKSON;Assist-Life Stage, Transition;;;;Majura Community Centre, 2 Rosevear Place, DICKSON, ACT, 2602
;;Assist-Travel/Transport;;;;Majura Community Centre, 2 Rosevear Place, DICKSON, ACT, 2602
;;Development-Life Skills;;;;Majura Community Centre, 2 Rosevear Place, DICKSON, ACT, 2602
;;Household Tasks;;;;Majura Community Centre, 2 Rosevear Place, DICKSON, ACT, 2602
;;Participate Community;;;;Majura Community Centre, 2 Rosevear Place, DICKSON, ACT, 2602
O'Hehir, Martin Bernard;KARABAR;;610448358537;;martinoh16@gmail.com;36 Anne Street, KARABAR, NSW, 2620
Olsen Family Trust & The Barrett Family Trust;PHILLIP;Assess-Skill, Ability, Needs;610261621229;www.activerecovery.net.au;info@activerecovery.net.au;Unit 2, 14 Dundas Court, PHILLIP, ACT, 2615
;;Physical Wellbeing;610261621229;www.activerecovery.net.au;info@activerecovery.net.au;Unit 2, 14 Dundas Court, PHILLIP, ACT, 2615
;;Therapeutic Supports;610261621229;www.activerecovery.net.au;info@activerecovery.net.au;Unit 2, 14 Dundas Court, PHILLIP, ACT, 2615
O'Mahoney, Carolyn Patricia;CANBERRA;Assess-Skill, Ability, Needs;610262828793;www.therapy4kidscanberra.com.au;info@therapy4kidscanberra.com.au;Level 11 St George Centre, 60 Marcus Clarke Street, CANBERRA, ACT, 2601
;;Early Childhood Supports;610262828793;www.therapy4kidscanberra.com.au;info@therapy4kidscanberra.com.au;Level 11 St George Centre, 60 Marcus Clarke Street, CANBERRA, ACT, 2601
;;Therapeutic Supports;610262828793;www.therapy4kidscanberra.com.au;info@therapy4kidscanberra.com.au;Level 11 St George Centre, 60 Marcus Clarke Street, CANBERRA, ACT, 2601
Orr, Julie Sharon;REDHEAD;Assess-Skill, Ability, Needs;;;;3A Elandale Place, REDHEAD, NSW, 2290
;;Early Childhood Supports;;;;3A Elandale Place, REDHEAD, NSW, 2290
;;Equipment Special Assess Setup;;;;3A Elandale Place, REDHEAD, NSW, 2290
;;Therapeutic Supports;;;;3A Elandale Place, REDHEAD, NSW, 2290
P & M Maintenance Pty Ltd;LATHAM;;610409778425;;office@pmmaintenance.com.au;18 O'Loghlen Street, LATHAM, ACT, 2615
Paynter, Christine;CONDER;Behaviour Support;610412056943;;;Conder Medical and Dental Centre, 3/3 Sidney Nolan Street, CONDER, ACT, 2906
Phiris Pty Ltd;STIRLING;Assist Prod-Pers Care/Safety;"+610262883106
(00)00000000";www.wheelchairfactory.com.au;admin@wheelchairfactory.com.au;ADDRESS CONFIDENTIAL
;;Personal Mobility Equipment;+610262883106  (00)00000000;www.wheelchairfactory.com.au;admin@wheelchairfactory.com.au;ADDRESS CONFIDENTIAL
Prodaj Pty Ltd;MAWSON;;610262866467;http://www.hands-onphysiotherapy.com.au/;admin@hands-onphysiotherapy.com.au;Unit 1, 43 Mawson Place, MAWSON, ACT, 2607
Quest Employment Solutions Pty Ltd;BELCONNEN;Assist-Personal Activities;;www.questcare.com.au;nathan.jones@questsolutions.com.au;Unit 104 Northpoint Plaza, 8 Chandler st,, BELCONNEN, ACT, 2617
;;Assist-Travel/Transport;;www.questcare.com.au;nathan.jones@questsolutions.com.au;Unit 104 Northpoint Plaza, 8 Chandler st,, BELCONNEN, ACT, 2617
;;Daily Tasks/Shared Living;;www.questcare.com.au;nathan.jones@questsolutions.com.au;Unit 104 Northpoint Plaza, 8 Chandler st,, BELCONNEN, ACT, 2617
;;Household Tasks;;www.questcare.com.au;nathan.jones@questsolutions.com.au;Unit 104 Northpoint Plaza, 8 Chandler st,, BELCONNEN, ACT, 2617
;;Participate Community;;www.questcare.com.au;nathan.jones@questsolutions.com.au;Unit 104 Northpoint Plaza, 8 Chandler st,, BELCONNEN, ACT, 2617
R and P Galli Holdings Pty Ltd;TURNER;;;;;74 Condamine St, TURNER, ACT, 2601
Rachel Marie Simon;SPENCE;;610261565553;www.capitalcounselling.com.au;info@capitalcounselling.com.au;2-4 Glassey Place, SPENCE, ACT, 2615
Relationships Australia Canberra & Region Incorporated;DEAKIN;;;;;15 Napier Close, DEAKIN, ACT, 2600
Richmond Fellowship ACT Inc.;PIALLIGO;Accommodation/Tenancy;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Assist-Integrate School/Ed;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Assist-Life Stage, Transition;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Assist-Personal Activities;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Assist-Travel/Transport;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Behaviour Support;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Daily Tasks/Shared Living;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Development-Life Skills;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Household Tasks;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
;;Participate Community;;www.rfact.org.au;wilf@rfact.org.au;Cnr Fairbairn Ave and Pialligo Ave, PIALLIGO, ACT, 2609
RIDING FOR THE DISABLED OF THE ACT INCORPORATED;HOLT;;610262549190;pegasusact.com.au;admin@pegasusact.com.au;119 Drake Brockman Drive, HOLT, ACT, 2615
Roman Catholic Church For The Archdiocese of Canberra and Goulburn As Trustees;RED HILL;Accommodation/Tenancy;"+610262954300
(00) 00000000";http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Assess-Skill, Ability, Needs;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Assist-Integrate School/Ed;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Assist-Life Stage, Transition;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Assist-Personal Activities;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Assist-Travel/Transport;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Behaviour Support;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Community Nursing Care;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Daily Tasks/Shared Living;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Development-Life Skills;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Early Childhood Supports;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Household Tasks;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Participate Community;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Physical Wellbeing;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Therapeutic Supports;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
;;Training-Travel Independence;+610262954300(00) 00000000;http://www.catholiccarechoices.org.au;CHOICES@catholiccare.cg.org.au;57 Hicks St, RED HILL, ACT, 2603
Royal Institute for Deaf and Blind Children;CANBERRA;Assess-Skill, Ability, Needs;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Assist-Integrate School/Ed;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Assist-Life Stage, Transition;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Development-Life Skills;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Early Childhood Supports;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Equipment Special Assess Setup;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
;;Therapeutic Supports;611300581391;www.ridbc.org.au;online@ridbc.org.au;Suite 1, 10 Rudd Street, CANBERRA, ACT, 2601
Royal Society for the Blind of South Australia Inc;CANBERRA;Assess-Skill, Ability, Needs;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Assistive Prod-Household Task;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Assist-Life Stage, Transition;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Development-Life Skills;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Early Childhood Supports;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Equipment Special Assess Setup;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Participate Community;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Therapeutic Supports;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
;;Vision Equipment;610262474580;www.rsb.org.au;actreferrals@rsb.org.au;Griffin Centre, 20 Genge St, CANBERRA, ACT, 2601
Rubies Nursing Pvt Limited;CRACE;Community Nursing Care;"+611300651649
0000 000 000";www.nursingagencyrubies.com.au;admin@nursingagencyrubies.com.au;163 Langtree Crescent, CRACE, ACT, 2911
;;Household Tasks;+6113006516490 000 000 000;www.nursingagencyrubies.com.au;admin@nursingagencyrubies.com.au;163 Langtree Crescent, CRACE, ACT, 2911
"S.A Blacker & M.P Flannery & P.J Jones & J.P Mulhall &
R.J Turner";CONDER;;;;;Shop 17, Lanyon Market Place, 4 Sidney Nolan St, CONDER, ACT, 2906
;WESTON;;;;;Cooleman Court Pharmacy, Shop 5015, Cooleman Court, Brierly Street, WESTON, ACT, 2611
SDN Child And Family Services Pty Limited;KAMBAH;Assess-Skill, Ability, Needs;"+611300407746
0000 000 000";www.sdn.org.au;ndis@sdn.org.au;Preschool Building Namadgi Scho, OHalloran Circuit, KAMBAH, ACT, 2902
;;Assist-Integrate School/Ed;+6113004077460 000 000 000;www.sdn.org.au;ndis@sdn.org.au;Preschool Building Namadgi Scho, OHalloran Circuit, KAMBAH, ACT, 2902
;;Early Childhood Supports;+6113004077460 000 000 000;www.sdn.org.au;ndis@sdn.org.au;Preschool Building Namadgi Scho, OHalloran Circuit, KAMBAH, ACT, 2902
;;Participate Community;+6113004077460 000 000 000;www.sdn.org.au;ndis@sdn.org.au;Preschool Building Namadgi Scho, OHalloran Circuit, KAMBAH, ACT, 2902
;;Therapeutic Supports;+6113004077460 000 000 000;www.sdn.org.au;ndis@sdn.org.au;Preschool Building Namadgi Scho, OHalloran Circuit, KAMBAH, ACT, 2902
Sexual Health and Family Planning ACT Incorporated;CANBERRA;;610262473077;www.shfpact.org.au;shfpact@shfpact.org.au;Level 1, 28 University Avenue, CANBERRA, ACT, 2601
Sharing Places Inc;PEARCE;Assist-Integrate School/Ed;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
;;Assist-Travel/Transport;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
;;Development-Life Skills;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
;;Participate Community;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
;;Physical Wellbeing;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
;;Training-Travel Independence;;www.sharingplaces.com.au;;Building 3 Pearce Community Centre, Collett Place, PEARCE, ACT, 2607
Siblings Australia Incorporated;KINGSWOOD;;;;;ADDRESS CONFIDENTIAL
Sillick, Tamra Jean;BELCONNEN;;610448861872;www.pamconnor.com;tamra.sillick@westnet.com.au;U5A, 55 Lathlain Street, BELCONNEN, ACT, 2616
Society of St. Vincent de Paul Pty. Limited;DEAKIN;;;;;15 Denison Street, DEAKIN, ACT, 2600
Sole Support Pedorthic Solutions PTY LTD;NORTH LYNEHAM;Personal Mobility Equipment;610262487777;www.solesupport.com.au;act@solesupport.com.au;4/6 Montford Cres, NORTH LYNEHAM, ACT, 2602
South Coast Home Modification and Maintenance Service Limited;BUNGENDORE;Assess-Skill, Ability, Needs;611300765887;www.scopehomeaccess.com.au;info@scopehomeaccess.com.au;2 Majara Street, BUNGENDORE, NSW, 2621
;;Equipment Special Assess Setup;611300765887;www.scopehomeaccess.com.au;info@scopehomeaccess.com.au;2 Majara Street, BUNGENDORE, NSW, 2621
;;Home Modification;611300765887;www.scopehomeaccess.com.au;info@scopehomeaccess.com.au;2 Majara Street, BUNGENDORE, NSW, 2621
;;Therapeutic Supports;611300765887;www.scopehomeaccess.com.au;info@scopehomeaccess.com.au;2 Majara Street, BUNGENDORE, NSW, 2621
Southern Electric Scooters Pty Ltd;EVATT;;;;;11 Pitcairn St, EVATT, ACT, 2617
Southside Community Services Incorporated;NARRABUNDAH;Assist-Life Stage, Transition;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Assist-Personal Activities;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Assist-Travel/Transport;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Development-Life Skills;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Household Tasks;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Participate Community;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Physical Wellbeing;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
;;Training-Travel Independence;610261264700;www.sscs.org.au;admin@sscs.org.au;63 Boolimba Crescent, NARRABUNDAH, ACT, 2604
Stewart, Michelle Patricia;CANBERRA CITY;;610499568574;;michellestwrt4@gmail.com;Higher Function, 23 Petrie Plaza, CANBERRA CITY, ACT, 2601
Stuchbery, Carolyn Cheryl;LATHAM;Assess-Skill, Ability, Needs;610401351611;;carolyn.stuchbery@bigpond.com;45 Herron Crescent, LATHAM, ACT, 2615
;;Early Childhood Supports;610401351611;;carolyn.stuchbery@bigpond.com;45 Herron Crescent, LATHAM, ACT, 2615
;;Equipment Special Assess Setup;610401351611;;carolyn.stuchbery@bigpond.com;45 Herron Crescent, LATHAM, ACT, 2615
;;Therapeutic Supports;610401351611;;carolyn.stuchbery@bigpond.com;45 Herron Crescent, LATHAM, ACT, 2615
Sue Cameron;HENTY;Assess-Skill, Ability, Needs;;;;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;;;;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;;;;ADDRESS CONFIDENTIAL
Sue Driscoll;GORDON;;;;;ADDRESS CONFIDENTIAL
Sunnyfield;HOLDER;Accommodation/Tenancy;"+611300588688
0000 000 000";www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assess-Skill, Ability, Needs;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assist Access/Maintain Employ;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assist-Life Stage, Transition;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assist-Personal Activities;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Assist-Travel/Transport;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Behaviour Support;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Daily Tasks/Shared Living;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Development-Life Skills;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Household Tasks;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Other Innovative Supports;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Participate Community;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Physical Wellbeing;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
;;Plan Management;+6113005886880 000 000 000;www.sunnyfield.org.au;;Grant Cameron Community Centre, 27 Mulley St, HOLDER, ACT, 2611
