A.D. Bynon & J.E. Bynon;SORELL;Assess-Skill, Ability, Needs;610362659281;www.growoccupationaltherapy.com.au;admin@growoccupationaltherapy.com.au;Sorell Allied Health Centre, 42 Cole St, SORELL, TAS, 7172
;;Development-Life Skills;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Household Tasks;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Other Innovative Supports;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Participate Community;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
;;Training-Travel Independence;;;info@nossinc.org.au;49 York Street, LAUNCESTON, TAS, 7250
Oak Tasmania;GLENORCHY;Assist Access/Maintain Employ;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Assist-Life Stage, Transition;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Assist-Personal Activities;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Assist-Travel/Transport;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Daily Tasks/Shared Living;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Development-Life Skills;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Equipment Special Assess Setup;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Household Tasks;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Participate Community;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
;;Training-Travel Independence;;;david.coe@oak.org.au;56 CLYDESDALE AVE, GLENORCHY, TAS, 7010
Oates, Jenene Elizabeth;ALONNAH;Therapeutic Supports;;;backworks@harboursat.com.au;250 Sheepwash Road, ALONNAH, TAS, 7150
Occupational Therapy Tas Pty Ltd;LENAH VALLEY;;610418588081;www.ottas.com.au;liz@ottas.com.au;6 Brushy Creek Road, LENAH VALLEY, TAS, 7008
O'Connor, Gail;SCAMANDER;Accommodation/Tenancy;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Assist Access/Maintain Employ;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Assist-Integrate School/Ed;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Assist-Personal Activities;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Assist-Travel/Transport;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Daily Tasks/Shared Living;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Development-Life Skills;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Household Tasks;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Participate Community;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
;;Training-Travel Independence;;;;134 Scamander Avenue, SCAMANDER, TAS, 7215
O'Kelly, Louise Mary;WEST HOBART;Assist-Life Stage, Transition;;;;1 Barton Ave, WEST HOBART, TAS, 7000
;;Behaviour Support;;;;1 Barton Ave, WEST HOBART, TAS, 7000
OneCare Limited;HOBART;;;;info@onecare.org.au;28 Davey Street, HOBART, TAS, 7000
Optia Inc.;MORNINGTON;Accommodation/Tenancy;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assist Prod-Pers Care/Safety;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assist-Integrate School/Ed;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assistive Equip-Recreation;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assistive Prod-Household Task;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assist-Life Stage, Transition;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assist-Personal Activities;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Assist-Travel/Transport;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Behaviour Support;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Comms & Info Equipment;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Daily Tasks/Shared Living;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Development-Life Skills;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Household Tasks;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Other Innovative Supports;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Participate Community;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Personal Mobility Equipment;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Plan Management;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Therapeutic Supports;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Training-Travel Independence;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
;;Vehicle modifications;;;optia@optiainc.org;370 Cambridge Road, MORNINGTON, TAS, 7018
Pansophic Solutions Pty Ltd;MOONAH;Assist-Travel/Transport;;;kim@unitedtaxi.com.au;113-117 Albert Road, MOONAH, TAS, 7009
Para-Quad Association of Tasmania Inc.;GLENORCHY;Assist Prod-Pers Care/Safety;;;info@paraquadtas.org.au;26-28 Tolosa Street, GLENORCHY, TAS, 7010
;;Assistive Prod-Household Task;;;info@paraquadtas.org.au;26-28 Tolosa Street, GLENORCHY, TAS, 7010
;;Personal Mobility Equipment;;;info@paraquadtas.org.au;26-28 Tolosa Street, GLENORCHY, TAS, 7010
Peopleworks Pty Ltd;HOBART;;;;;70 Warwick Street, HOBART, TAS, 7000
Philp Lighton Architects Pty. Ltd.;LAUNCESTON;Home Modification;610363312133;www.philplighton.com.au;launceston@philplighton.com.au;65 Tamar Street, LAUNCESTON, TAS, 7250
Plane Tree Studio Incorporated;HOBART;Assist Access/Maintain Employ;;;mail@planetreestudio.com;107 Murray Street, HOBART, TAS, 7000
Porsbro-Pedersen, Luke;NORWOOD;;;;;111 Station Road, NORWOOD, TAS, 7250
Positive Behaviour Change Solutions Pty Ltd;PENGUIN;Assess-Skill, Ability, Needs;610428597284;;matthew.spicer@poschange.net;ADDRESS CONFIDENTIAL
;;Behaviour Support;610428597284;;matthew.spicer@poschange.net;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;610428597284;;matthew.spicer@poschange.net;ADDRESS CONFIDENTIAL
Presbyterian Care Tasmania Incorporated;LEGANA;;;;ceo@prescaretas.org.au;1 - 9 Freshwater Point Road, LEGANA, TAS, 7277
Psych Health Australia Pty Ltd;MOONAH;;;;psychealthaustralia@gmail.com;1 Bowen Rd, MOONAH, TAS, 7009
Rabe, Debra Lee;BERRIEDALE;Assist-Life Stage, Transition;610417974180;;Debrarabe@bigpond.com;4 Chablis Court, BERRIEDALE, TAS, 7011
;;Plan Management;610417974180;;Debrarabe@bigpond.com;4 Chablis Court, BERRIEDALE, TAS, 7011
Ravenswood Community Garden Inc;RAVENSWOOD;;610419151763;;susan.jacobs@education.tas.gov.au;ADDRESS CONFIDENTIAL
Rehability (Qld) Pty Ltd;MORNINGSIDE;Assess-Skill, Ability, Needs;610731612471;www.rehabilityabiservices.com.au;rehab@rehabilityabiservices.com.au;161 Richmond Road, MORNINGSIDE, QLD, 4170
;;Behaviour Support;610731612471;www.rehabilityabiservices.com.au;rehab@rehabilityabiservices.com.au;161 Richmond Road, MORNINGSIDE, QLD, 4170
;;Therapeutic Supports;610731612471;www.rehabilityabiservices.com.au;rehab@rehabilityabiservices.com.au;161 Richmond Road, MORNINGSIDE, QLD, 4170
Relationships Australia Tasmania Incorporated;NEW TOWN;Assist-Life Stage, Transition;611300364277;;ndis@reltas.com.au;20 Clare Street, NEW TOWN, TAS, 7018
;;Other Innovative Supports;611300364277;;ndis@reltas.com.au;20 Clare Street, NEW TOWN, TAS, 7018
;;Therapeutic Supports;611300364277;;ndis@reltas.com.au;20 Clare Street, NEW TOWN, TAS, 7018
Richards, Janis Rae;LAUNCESTON;;610429402212;;richards.psychology@gmail.com;37B Brisbane St, LAUNCESTON, TAS, 7250
Riding for the Disabled Association of Tasmania;GROVE;;610429943247;www.rdatas.org.au;admin@rdatas.org.au;111 Crabtree Road, GROVE, TAS, 7109
Rossetto, Georgia;LAUNCESTON;Physical Wellbeing;610417325129;;georgia.rossetto@bigpond.com;Rose Cottage Medical Center, 5 Innes Street, LAUNCESTON, TAS, 7250
Royal Guide Dogs for the Blind Association of Tasmania;HOBART;Assess-Skill, Ability, Needs;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Assist Access/Maintain Employ;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Assist-Life Stage, Transition;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Development-Life Skills;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Equipment Special Assess Setup;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Household Tasks;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Other Innovative Supports;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Training-Travel Independence;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
;;Vision Equipment;;;admin@guidedogstas.com.au;164 Elizabeth Street, HOBART, TAS, 7001
Ruth Kiran Croser;BELLERIVE;;"+610362459232
(00) 00000000";www.encourageequipenable.com;ruthcroser@iinet.net.au;Shop 9, Bellerive Quay, 31 Cambridge Road, BELLERIVE, TAS, 7018
S.A Muskett & C Oosterloo;BATTERY POINT;;;;;70 Sandy Bay Rd, BATTERY POINT, TAS, 7004
Schrale, Lewina Nellie;WEST HOBART;;;;lewina@pandatherapy.com.au;2A Gourlay Street, WEST HOBART, TAS, 7000
Self Help Workshop Inc;YOUNGTOWN;Assist Access/Maintain Employ;;;donna@selfhelp.com.au;414 HOBART RD, YOUNGTOWN, TAS, 7249
;;Other Innovative Supports;;;donna@selfhelp.com.au;414 HOBART RD, YOUNGTOWN, TAS, 7249
Siblings Australia Incorporated;KINGSWOOD;;;;;ADDRESS CONFIDENTIAL
Smit, Heidi Marie;LINDISFARNE;Assess-Skill, Ability, Needs;6162459232;www.heidismit.com.au;admin@heidismit.com.au;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;6162459232;www.heidismit.com.au;admin@heidismit.com.au;ADDRESS CONFIDENTIAL
South Eastern Nursing & Home Care Association Incorporated;SORELL;Assist-Personal Activities;610362691200;www.secommunitycare.com.au;mail@secommunitycare.com.au;57 Cole Street, SORELL, TAS, 7172
;;Assist-Travel/Transport;610362691200;www.secommunitycare.com.au;mail@secommunitycare.com.au;57 Cole Street, SORELL, TAS, 7172
;;Community Nursing Care;610362691200;www.secommunitycare.com.au;mail@secommunitycare.com.au;57 Cole Street, SORELL, TAS, 7172
;;Household Tasks;610362691200;www.secommunitycare.com.au;mail@secommunitycare.com.au;57 Cole Street, SORELL, TAS, 7172
;;Participate Community;610362691200;www.secommunitycare.com.au;mail@secommunitycare.com.au;57 Cole Street, SORELL, TAS, 7172
St Giles Society Inc;NEWSTEAD;Assess-Skill, Ability, Needs;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assist Prod-Pers Care/Safety;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assistive Equip-Recreation;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assistive Prod-Household Task;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assist-Life Stage, Transition;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assist-Personal Activities;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Assist-Travel/Transport;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Behaviour Support;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Comms & Info Equipment;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Community Nursing Care;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Daily Tasks/Shared Living;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Development-Life Skills;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Early Childhood Supports;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Equipment Special Assess Setup;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Other Innovative Supports;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Participate Community;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Personal Mobility Equipment;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Therapeutic Supports;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Vehicle modifications;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
;;Vision Equipment;;www.stgiles.org.au;society@stgiles.org.au;Newstead Heights School 65 Amy Road, NEWSTEAD, TAS, 7250
St Michaels Association Inc.;NEWSTEAD;Assist-Life Stage, Transition;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Assist-Personal Activities;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Daily Tasks/Shared Living;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Development-Life Skills;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Household Tasks;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Participate Community;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Plan Management;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
;;Training-Travel Independence;;www.stmichaels.asn.au;john.gilpin@stmichaels.asn.au;22 Hoblers Bridge Rd, NEWSTEAD, TAS, 7250
St Vincent De Paul Society (Tasmania) Inc;INVERMAY;Assist Access/Maintain Employ;;;frances.pratt@vinniestas.org.au;191 Invermay Rd, INVERMAY, TAS, 7248
;;Development-Life Skills;;;frances.pratt@vinniestas.org.au;191 Invermay Rd, INVERMAY, TAS, 7248
;;Participate Community;;;frances.pratt@vinniestas.org.au;191 Invermay Rd, INVERMAY, TAS, 7248
;;Training-Travel Independence;;;frances.pratt@vinniestas.org.au;191 Invermay Rd, INVERMAY, TAS, 7248
St Vincent Industries Inc.;NORTH HOBART;Assist Access/Maintain Employ;;;sales@stvincentind.com.au;82 BURNETT ST, NORTH HOBART, TAS, 7000
Sue Cameron;HENTY;Assess-Skill, Ability, Needs;;;;ADDRESS CONFIDENTIAL
;;Early Childhood Supports;;;;ADDRESS CONFIDENTIAL
;;Therapeutic Supports;;;;ADDRESS CONFIDENTIAL
Summit Psychological Services;KINGSTON;;;;;ADDRESS CONFIDENTIAL
Supported Tenancy Accommodation and Respite Tasmania Inc;NEW TOWN;Accommodation/Tenancy;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Assistive Equip-Recreation;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Assist-Life Stage, Transition;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Assist-Personal Activities;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Assist-Travel/Transport;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Daily Tasks/Shared Living;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Development-Life Skills;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Participate Community;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
;;Training-Travel Independence;;;admin@startas.org;Suites 2, 3, 31 Tower Road, NEW TOWN, TAS, 7008
TADTAS Inc;SANDY BAY;;;;;29 Princes St, SANDY BAY, TAS, 7005
Tas Independent Nursing Pty Ltd;TRAVELLERS REST;;"+610363448244
(00) 00000000";www.freedomtas.com.au;jkent@freedomtas.com.au;179 Meander Valley Highway, TRAVELLERS REST, TAS, 7250
Tasmanian Acquired Brain Injury Services Inc.;MOWBRAY;Assistive Equip-Recreation;;;reception@tabis.org.au;288 Invermay Road, MOWBRAY, TAS, 7248
;;Development-Life Skills;;;reception@tabis.org.au;288 Invermay Road, MOWBRAY, TAS, 7248
;;Other Innovative Supports;;;reception@tabis.org.au;288 Invermay Road, MOWBRAY, TAS, 7248
;;Participate Community;;;reception@tabis.org.au;288 Invermay Road, MOWBRAY, TAS, 7248
;;Training-Travel Independence;;;reception@tabis.org.au;288 Invermay Road, MOWBRAY, TAS, 7248
Tasmanian Association of Disabled Persons Abilities Centre;GLENORCHY;Assist Access/Maintain Employ;;;moira@tadpac.com.au;98 Grove Road, GLENORCHY, TAS, 7010
Tasmanian Association of People with Disabilities and Their Advocates Inc.;GLENORCHY;Assist Access/Maintain Employ;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
;;Assist-Personal Activities;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
;;Development-Life Skills;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
;;Other Innovative Supports;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
;;Participate Community;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
;;Training-Travel Independence;;;angeliquepayne@auroradisability.org.au;15 Mill Lane, GLENORCHY, TAS, 7010
Tasmanian Deaf Society Inc;NEW TOWN;;610362281955;www.tasdeaf.org.au;info@tasdeaf.org.au;ground floor, 139 Newtown Road, NEW TOWN, TAS, 7008
Tasmanian Occupational Therapy Services Pty Ltd;BICHENO;Assess-Skill, Ability, Needs;610419179907;www.tasotservices.com.au;danyelle@tasotservices.com.au;144 Tasman Highway, BICHENO, TAS, 7215
;;Equipment Special Assess Setup;610419179907;www.tasotservices.com.au;danyelle@tasotservices.com.au;144 Tasman Highway, BICHENO, TAS, 7215
;;Therapeutic Supports;610419179907;www.tasotservices.com.au;danyelle@tasotservices.com.au;144 Tasman Highway, BICHENO, TAS, 7215
TasTAFE;HOBART;Assist-Integrate School/Ed;;;info@tastafe.tas.edu.au;75 Campbell Street, HOBART, TAS, 7000
Tastex Knitwear Inc.;GLENORCHY;Assist Access/Maintain Employ;;;vhawker@tastex.com.au;12 MILL LANE, GLENORCHY, TAS, 7010
Taxi Combined Services (Hobart) Pty Ltd;MOONAH;Assist-Travel/Transport;;;admin@taxicombinedhobart.com.au;11 Birdwood Ave, MOONAH, TAS, 7009
;;Vehicle modifications;;;admin@taxicombinedhobart.com.au;11 Birdwood Ave, MOONAH, TAS, 7009
Taxi Combined Services (Launceston) Pty. Ltd.;LAUNCESTON;Assist-Travel/Transport;;;tcsltn@hotkey.net.au;32 Cameron Street, LAUNCESTON, TAS, 7250
TFB Contracting Pty Ltd;SWAN BAY;Home Modification;;;tfb_contracting@bigpond.com;73-93 Los Angelos Road, SWAN BAY, TAS, 7252
The Association for Children with Disability (TAS) Inc.;HOBART;Assist-Life Stage, Transition;;;admin@acdtas.com.au;83A Melville Street, HOBART, TAS, 7000
The Multiple Sclerosis Society of Tasmania;SANDY BAY;Assist-Life Stage, Transition;;;aboutus@mstas.org.au;1st Floor, 15 Princes Street, SANDY BAY, TAS, 7005
;;Therapeutic Supports;;;aboutus@mstas.org.au;1st Floor, 15 Princes Street, SANDY BAY, TAS, 7005
The ORS Group Pty Ltd;LAUNCESTON;Assess-Skill, Ability, Needs;;;ndis@orsgroup.com.au;2/10 Willis Street, LAUNCESTON, TAS, 7250
The Parkside Foundation Pty Ltd;LINDISFARNE;Accommodation/Tenancy;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Assist-Life Stage, Transition;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Assist-Personal Activities;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Assist-Travel/Transport;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Daily Tasks/Shared Living;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Development-Life Skills;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Participate Community;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
;;Training-Travel Independence;;;enquiries@parkside.org.au;34 Wellington Street, LINDISFARNE, TAS, 7015
The Richmond Fellowship of Tasmania Inc;SOUTH HOBART;;"+610362283344
00 00000000";www.rftas.org.au;info@rftas.org.au;C3, 64 Angelsea Street, SOUTH HOBART, TAS, 7004
The Speech Centre Pty Ltd;MAYFIELD;Therapeutic Supports;;;thespeechcentre@gmail.com;27 Mayfield Street, MAYFIELD, TAS, 7248
The Sunlea Team Inc.;GLENORCHY;;;;sunlea@aanet.com.au;8 Sunlea Place, GLENORCHY, TAS, 7010
The Trustee for A K Lowe Trust;WEST HOBART;Assess-Skill, Ability, Needs;;;totaloutcome@bigpond.com;11 MELLIFONT ST, WEST HOBART, TAS, 7000
;;Assist Access/Maintain Employ;;;totaloutcome@bigpond.com;11 MELLIFONT ST, WEST HOBART, TAS, 7000
;;Physical Wellbeing;;;totaloutcome@bigpond.com;11 MELLIFONT ST, WEST HOBART, TAS, 7000
;;Therapeutic Supports;;;totaloutcome@bigpond.com;11 MELLIFONT ST, WEST HOBART, TAS, 7000
The Trustee for Anandam Family Trust;NEWSTEAD;Equipment Special Assess Setup;;;;7 Penquite Road, NEWSTEAD, TAS, 7250
;;Other Innovative Supports;;;;7 Penquite Road, NEWSTEAD, TAS, 7250
;;Personal Mobility Equipment;;;;7 Penquite Road, NEWSTEAD, TAS, 7250
The Trustee for APT Unit Trust;SANDY BAY;Assess-Skill, Ability, Needs;610362249777;www.allcarephysio.com.au;info@allcarephysio.com.au;68 Sandy Bay Road, SANDY BAY, TAS, 7005
;;Early Childhood Supports;610362249777;www.allcarephysio.com.au;info@allcarephysio.com.au;68 Sandy Bay Road, SANDY BAY, TAS, 7005
;;Therapeutic Supports;610362249777;www.allcarephysio.com.au;info@allcarephysio.com.au;68 Sandy Bay Road, SANDY BAY, TAS, 7005
The Trustee for Atkins Family Trust;KINGS MEADOWS;;;;atkinsmarketing@internode.on.net;3a Merion Street, KINGS MEADOWS, TAS, 7249
The Trustee for Bowles Family Trust;NORWOOD;;;;admin@allbusinessbookkeeping.com.au;17 Boiton Hill Road, NORWOOD, TAS, 7250
The Trustee for Brian Finch Family Trust;LAUNCESTON;;;;brianfinch@kfmfitness.com.au;23 Racecourse Crescent,, LAUNCESTON, TAS, 7250
The Trustee for D A Polita Family Trust;BATTERY POINT;Assess-Skill, Ability, Needs;610428547000;www.rehabalive.com.au;daniella@rehabalive.com.au;20 Cromwell Street, BATTERY POINT, TAS, 7004
;;Equipment Special Assess Setup;610428547000;www.rehabalive.com.au;daniella@rehabalive.com.au;20 Cromwell Street, BATTERY POINT, TAS, 7004
;;Therapeutic Supports;610428547000;www.rehabalive.com.au;daniella@rehabalive.com.au;20 Cromwell Street, BATTERY POINT, TAS, 7004
The trustee for Fourways Unit Trust;DEVONPORT;Assist Prod-Pers Care/Safety;;;devonport@terrywhitechemists.com.au;155 William Street, DEVONPORT, TAS, 7310
The Trustee for Nissand Unit Trust;CARRUM;;;;;ADDRESS CONFIDENTIAL
The Trustee for the John Tchappat Family Trust & The Trustee for the Rob Tchappa;KINGS MEADOWS;Assist Prod-Pers Care/Safety;;;info@all-linedist.com.au;13 Fawkner Avenue, KINGS MEADOWS, TAS, 7249
The Trustee For The Maloney Family Trust;GLENORCHY;Assess-Skill, Ability, Needs;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Assist-Life Stage, Transition;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Behaviour Support;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Early Childhood Supports;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Equipment Special Assess Setup;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Other Innovative Supports;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
;;Therapeutic Supports;610411217147;www.therapytasmania.com.au;cathryn@therapytasmania.com.au;64 Kenbrae Avenue, GLENORCHY, TAS, 7010
The Trustee for The Stops Family Trust;HOBART;Assess-Skill, Ability, Needs;610448124001;https://www.healthkit.com/profile/mr-darren- stops/psychologist/16804;darren.stops@gmail.com;St Helens Private Hospital, 186 Macquarie St, HOBART, TAS, 7018
;;Behaviour Support;610448124001;https://www.healthkit.com/profile/mr-darren-st;darren.stops@gmail.com;St Helens Private Hospital, 186 Macquarie St, HOBART, TAS, 7018
;;Early Childhood Supports;610448124001;https://www.healthkit.com/profile/mr-darren-st;darren.stops@gmail.com;St Helens Private Hospital, 186 Macquarie St, HOBART, TAS, 7018
;;Therapeutic Supports;610448124001;https://www.healthkit.com/profile/mr-darren-st;darren.stops@gmail.com;St Helens Private Hospital, 186 Macquarie St, HOBART, TAS, 7018
The Trustee of the LMS Unit Trust;LESLIE VALE;;;;mikeradburn@hotmail.com;235 Wolfes Road, LESLIE VALE, TAS, 7054
